smiles_1,smiles_2,id_1,id_2,transformation,context
CC(C)(C#N)c1ccc(NCC#Cc2cc3cc(CNC4CCOCC4)ccc3n2CC(F)(F)F)cn1,CC(C)(C#N)c1ccc(NCC#Cc2cc3nc(CNC4CCOCC4)ccc3n2CC(F)(F)F)cn1,mol509,mol360,[*:1]Cn1c([*:2])cc2cc([*:3])ccc21>>[*:1]Cn1c([*:2])cc2nc([*:3])ccc21,[*:2]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:1]C(F)(F)F.[*:3]CNC1CCOCC1
CC(C)(C#N)c1ccc(NCC#Cc2cc3cc(CNC4CCOCC4)cnc3n2CC(F)(F)F)cn1,CC(C)(C#N)c1ccc(NCC#Cc2cc3nc(CNC4CCOCC4)ccc3n2CC(F)(F)F)cn1,mol649,mol360,[*:1]Cn1c([*:2])cc2cc([*:3])cnc21>>[*:1]Cn1c([*:2])cc2nc([*:3])ccc21,[*:2]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:1]C(F)(F)F.[*:3]CNC1CCOCC1
CC(C)(C#N)c1ccc(NCC#CC2Nc3cc(CNC4CCOCC4)ccc3N2CC(F)(F)F)cn1,CC(C)(C#N)c1ccc(NCC#Cc2cc3nc(CNC4CCOCC4)ccc3n2CC(F)(F)F)cn1,mol807,mol360,[*:1]CN1c2ccc([*:2])cc2NC1[*:3]>>[*:1]Cn1c([*:3])cc2nc([*:2])ccc21,[*:3]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:1]C(F)(F)F.[*:2]CNC1CCOCC1
CC(C)(C#N)c1ccc(NCC#Cc2[nH]c3cc(CNC4CCOCC4)ccc3c2CC(F)(F)F)cn1,CC(C)(C#N)c1ccc(NCC#Cc2cc3nc(CNC4CCOCC4)ccc3n2CC(F)(F)F)cn1,mol812,mol360,[*:1]Cc1c([*:2])[nH]c2cc([*:3])ccc12>>[*:1]Cn1c([*:2])cc2nc([*:3])ccc21,[*:2]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:1]C(F)(F)F.[*:3]CNC1CCOCC1
CC(C)(C#N)c1ccc(NCC#Cc2cc3cc(CNC4CCOCC4)ccc3n2CC(F)(F)F)cn1,CC(C)(C#N)c1ccc(NCC#Cc2nc3cc(CNC4CCOCC4)ccc3n2CC(F)(F)F)cn1,mol509,mol428,[*:1]Cn1c([*:2])cc2cc([*:3])ccc21>>[*:1]Cn1c([*:2])nc2cc([*:3])ccc21,[*:2]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:1]C(F)(F)F.[*:3]CNC1CCOCC1
CC(C)(C#N)c1ccc(NCC#Cc2cc3cc(CNC4CCOCC4)cnc3n2CC(F)(F)F)cn1,CC(C)(C#N)c1ccc(NCC#Cc2nc3cc(CNC4CCOCC4)ccc3n2CC(F)(F)F)cn1,mol649,mol428,[*:1]Cn1c([*:2])cc2cc([*:3])cnc21>>[*:1]Cn1c([*:2])nc2cc([*:3])ccc21,[*:2]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:1]C(F)(F)F.[*:3]CNC1CCOCC1
CC(C)(C#N)c1ccc(NCC#CC2Nc3cc(CNC4CCOCC4)ccc3N2CC(F)(F)F)cn1,CC(C)(C#N)c1ccc(NCC#Cc2nc3cc(CNC4CCOCC4)ccc3n2CC(F)(F)F)cn1,mol807,mol428,[*:1]CN1c2ccc([*:2])cc2NC1[*:3]>>[*:1]Cn1c([*:3])nc2cc([*:2])ccc21,[*:3]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:1]C(F)(F)F.[*:2]CNC1CCOCC1
CC(C)(C#N)c1ccc(NCC#Cc2[nH]c3cc(CNC4CCOCC4)ccc3c2CC(F)(F)F)cn1,CC(C)(C#N)c1ccc(NCC#Cc2nc3cc(CNC4CCOCC4)ccc3n2CC(F)(F)F)cn1,mol812,mol428,[*:1]Cc1c([*:2])[nH]c2cc([*:3])ccc12>>[*:1]Cn1c([*:2])nc2cc([*:3])ccc21,[*:2]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:1]C(F)(F)F.[*:3]CNC1CCOCC1
CC(C)(C#N)c1ccc(NCC#Cc2cc3cc(CNC4CCOCC4)ccc3n2CC(F)(F)F)cn1,CC(C)(C#N)c1ccc(NCC#Cc2cc3cc(CNC4CCOCC4)cnc3n2CC(F)(F)F)cn1,mol509,mol649,[*:1]Cn1c([*:2])cc2cc([*:3])ccc21>>[*:1]Cn1c([*:2])cc2cc([*:3])cnc21,[*:2]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:1]C(F)(F)F.[*:3]CNC1CCOCC1
CC(C)(C#N)c1ccc(NCC#CC2Nc3cc(CNC4CCOCC4)ccc3N2CC(F)(F)F)cn1,CC(C)(C#N)c1ccc(NCC#Cc2cc3cc(CNC4CCOCC4)ccc3n2CC(F)(F)F)cn1,mol807,mol509,[*:1]CN1c2ccc([*:2])cc2NC1[*:3]>>[*:1]Cn1c([*:3])cc2cc([*:2])ccc21,[*:3]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:1]C(F)(F)F.[*:2]CNC1CCOCC1
CC(C)(C#N)c1ccc(NCC#Cc2[nH]c3cc(CNC4CCOCC4)ccc3c2CC(F)(F)F)cn1,CC(C)(C#N)c1ccc(NCC#Cc2cc3cc(CNC4CCOCC4)ccc3n2CC(F)(F)F)cn1,mol812,mol509,[*:1]Cc1c([*:2])[nH]c2cc([*:3])ccc12>>[*:1]Cn1c([*:2])cc2cc([*:3])ccc21,[*:2]C#CCNc1ccc(C(C)(C)C#N)nc1.[*:1]C(F)(F)F.[*:3]CNC1CCOCC1
